food_type,stimulus_no,food
plant_based,1,mushroom_stew
plant_based,2,bbq_jackfruit
plant_based,3,seitan_burger
plant_based,4,sweet_potatoe_soup
plant_based,5,mushroom_burger
plant_based,6,soy_bolognese
plant_based,7,soy_burrito
plant_based,8,tomato_soup
plant_based,9,bean_chilli
plant_based,10,bean_burger
plant_based,11,chichpea_curry
plant_based,12,cauliflower_tacos
plant_based,13,falafel
plant_based,14,garlic_spaghetti
plant_based,15,lentil_soup
plant_based,16,tofu_stir_fty
plant_based,17,bean_burrito_bowl
plant_based,18,avocado_toast
plant_based,19,breakfast_tofu
plant_based,20,pakoras
meat_based,21,lamb_stew
meat_based,22,pork_burrito
meat_based,23,chicken_pakora
meat_based,24,beef_chilli
meat_based,25,pork_burger
meat_based,26,chicken_wrap
meat_based,27,fish_tacos
meat_based,28,chicken_soup
meat_based,29,lamb_curry
meat_based,30,pea_ham_soup
meat_based,31,ham_minestrone
meat_based,32,chicken_stir_fry
meat_based,33,bacon_and_eggs
meat_based,34,chicken_burrito_bowl
meat_based,35,shrimp_pasta
meat_based,36,cheeseburger
meat_based,37,fish_fingers
meat_based,38,tuna_sandwich
meat_based,39,chicken_burger
meat_based,40,beef_spaghetti
