pp,start_date,end_date,duration,finished,response_id,fullfil_criteria,consent,prolific_id,group,hungry,thirsty,desire_instructions_time,simulations_instructions_time,food_type,stimulus_no,food,label_type,measure,rating,time,age,gender,height_choice,height_cm,height_feet,height_inches,weight_choice,weight_kilos,weight_stones,weight_pounds,weight_pounds_only,diet,diet_details,meat_per_week,change_diet,attitude_meat,attitude_vegan,attitude_pb,allergies,allergies_details,language_issues,language_issues_details,didnt_like,study_about,technical_issues,page_time_median,speed_factor,speed_factor_trimmed,rsi,attitude_pb_vegan,attitude_pb_vegan_c,meat_per_week_c,change_diet_s,meat_per_week_s,hungry_s
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,1,mushroom_burrito,enhanced,attractiveness,36.48,6.294,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.060499999999999,0.8040197013028281,0.8040197013028281,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,4,mint_soup,enhanced,attractiveness,60.7,4.844,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.4765,1.1305739058629232,1.1305739058629232,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,7,whirls,enhanced,attractiveness,31.69,6.785,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.904,0.8701547531319086,0.8701547531319086,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,9,fishless_cakes,enhanced,attractiveness,59.01,5.337,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,6.0785,1.138935731684467,1.138935731684467,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,12,rice_bowl,enhanced,attractiveness,32.39,7.571,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.0075,0.6614053625676926,0.6614053625676926,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,14,steam_bags,enhanced,attractiveness,65.35,6.259,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.916,0.9451989135644672,0.9451989135644672,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,15,sushi_wrap,enhanced,attractiveness,67.75,7.837,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.9285,0.7564756922291693,0.7564756922291693,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,17,hash_browns,enhanced,attractiveness,63.24,5.987,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.278499999999999,0.8816602639051276,0.8816602639051276,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,19,noddles_veggies,enhanced,attractiveness,17.18,7.287,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.128,0.7037189515575683,0.7037189515575683,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,plant_based,20,falafel,enhanced,attractiveness,85.63,5.309,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.479,1.032021096251648,1.032021096251648,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
