food_id,food,food_type,supermarket,count,proportion,total,consumption_total,non_consumption_total,situation_independent_total,sensory_total,positive_total,negative_total,contextual_total,consumption_proportion,non_consumption_proportion,situation_independent_proportion,sensory_proportion,positive_proportion,negative_proportion,contextual_proportion
37,waitrose_vegan_italian_inspired_veggie_balls,vegan,waitrose,0,0,11,1,1,9,0,0,0,1,0.09090909090909091,0.09090909090909091,0.8181818181818182,0,0,0,0.09090909090909091
38,waitrose_vegan_korean_inspired_vegetable_burger,vegan,waitrose,0,0,6,0,1,5,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0,0,0,0
39,waitrose_vegan_jackfruit_burger,vegan,waitrose,0,0,5,0,0,5,0,0,0,0,0,0,1,0,0,0,0
40,waitrose_vegan_stonebaked_barbecue_jackfruit_pizza,vegan,waitrose,3,0.23076923076923078,13,0,3,10,0,0,0,0,0,0.23076923076923078,0.7692307692307693,0,0,0,0
41,waitrose_vegan_nut_roast,vegan,waitrose,0,0,10,0,0,10,0,0,0,0,0,0,1,0,0,0,0
42,waitrose_vegan_fishlesscakes,vegan,waitrose,0,0,7,0,0,7,0,0,0,0,0,0,1,0,0,0,0
43,waitrose_vegan_mac_mushroom,vegan,waitrose,1,0.14285714285714285,7,0,1,6,0,0,0,0,0,0.14285714285714285,0.8571428571428571,0,0,0,0
44,waitrose_asian_green_thai_vegetable_curry,vegan,waitrose,0,0,7,0,0,7,0,0,0,0,0,0,1,0,0,0,0
45,veggie_lovers_2_black_bean_and_salsa_roasts,vegan,waitrose,0,0,8,1,0,7,1,0,0,0,0.125,0,0.875,0.125,0,0,0
46,itsu_vegetable_fusion_gyoza,vegan,waitrose,1,0.08333333333333333,12,2,2,8,1,0,0,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.08333333333333333,0,0,0.08333333333333333
47,feed_me_vegan_vegan_chilli,vegan,waitrose,0,0,5,2,1,2,2,0,0,0,0.4,0.2,0.4,0.4,0,0,0
48,strong_roots_cauliflower_hash_browns,vegan,waitrose,0,0,7,3,0,4,1,0,0,2,0.42857142857142855,0,0.5714285714285714,0.14285714285714285,0,0,0.2857142857142857
49,amys_kitchen_chinese_noodles_veggies,vegan,waitrose,0,0,7,0,1,6,0,0,0,0,0,0.14285714285714285,0.8571428571428571,0,0,0,0
50,amys_kitchen_breakfast_scramble_wrap,vegan,waitrose,0,0,7,1,0,6,0,0,0,1,0.14285714285714285,0,0.8571428571428571,0,0,0,0.14285714285714285
51,waitrose_vegan_spanish_style_whirls,vegan,waitrose,1,0.1111111111111111,9,1,1,7,1,0,0,0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.1111111111111111,0,0,0
52,tesco_10_vegetable_fingers,vegan,tesco,0,0,5,2,0,3,2,0,0,0,0.4,0,0.6,0.4,0,0,0
53,tesco_12_vegan_sweet_potato_falafel,vegan,tesco,1,0.14285714285714285,7,1,1,5,1,0,0,0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,0,0,0
54,linda_mccartney_2_vegetarian_deep_dish_country_pies,vegan,tesco,2,0.125,16,2,2,12,1,1,0,0,0.125,0.125,0.75,0.0625,0.0625,0,0
55,beyond_meat_free_from_meat_burger,vegan,tesco,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0
56,tesco_finest_cauliflower_and_sweet_potato_satay_and_rice,vegan,tesco,1,0.08333333333333333,12,0,1,11,0,0,0,0,0,0.08333333333333333,0.9166666666666666,0,0,0,0
57,wicked_kitchen_big_bros_enchiladas,vegan,tesco,0,0,9,0,0,9,0,0,0,0,0,0,1,0,0,0,0
58,tesco_edamame_bean_laksa,vegan,tesco,0,0,12,0,0,12,0,0,0,0,0,0,1,0,0,0,0
59,wicked_kitchen_bbq_shreds_and_greens,vegan,tesco,4,0.26666666666666666,15,0,4,11,0,0,0,0,0,0.26666666666666666,0.7333333333333333,0,0,0,0
60,wicked_kitchen_fiery_filthy_wedges,vegan,tesco,0,0,11,1,0,10,1,0,0,0,0.09090909090909091,0,0.9090909090909091,0.09090909090909091,0,0,0
61,goodfellas_vegan_spicy_vegetable_salsa_pizza,vegan,tesco,1,0.06666666666666667,15,1,1,13,1,0,0,0,0.06666666666666667,0.06666666666666667,0.8666666666666667,0.06666666666666667,0,0,0
62,vivera_veggie_goujons,vegan,tesco,1,0.2,5,0,1,4,0,0,0,0,0,0.2,0.8,0,0,0,0
63,wicked_kitchen_nanas_mushroom_bolognese,vegan,tesco,2,0.2222222222222222,9,0,2,7,0,0,0,0,0,0.2222222222222222,0.7777777777777778,0,0,0,0
64,wicked_kitchen_naked_burrito,vegan,tesco,3,0.16666666666666666,18,2,3,13,2,0,0,0,0.1111111111111111,0.16666666666666666,0.7222222222222222,0.1111111111111111,0,0,0
65,bol_thai_coconut_curry_pot,vegan,tesco,0,0,10,0,1,9,0,0,0,0,0,0.1,0.9,0,0,0,0
66,tesco_vegetable_chow_mein,vegan,tesco,0,0,7,0,0,7,0,0,0,0,0,0,1,0,0,0,0
67,no_pork_sausoyges,vegan,m&s,0,0,6,0,1,5,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0,0,0,0
68,roasted_mushroom_stroganoff,vegan,m&s,1,0.1,10,0,1,9,0,0,0,0,0,0.1,0.9,0,0,0,0
69,plant_kitchen_lasagne,vegan,m&s,0,0,7,2,0,5,1,1,0,0,0.2857142857142857,0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0
70,no_chic_n_nuggets,vegan,m&s,0,0,5,0,0,5,0,0,0,0,0,0,1,0,0,0,0
71,beet_burger,vegan,m&s,0,0,7,1,0,6,1,0,0,0,0.14285714285714285,0,0.8571428571428571,0.14285714285714285,0,0,0
72,moroccan_lentil_stew,vegan,m&s,0,0,6,1,0,5,1,0,0,0,0.16666666666666666,0,0.8333333333333334,0.16666666666666666,0,0,0
73,mushroom_pie,vegan,m&s,0,0,11,0,0,11,0,0,0,0,0,0,1,0,0,0,0
74,cashew_mac,vegan,m&s,2,0.18181818181818182,11,0,2,9,0,0,0,0,0,0.18181818181818182,0.8181818181818182,0,0,0,0
75,rainbow_veg_sushi_wrap,vegan,m&s,2,0.18181818181818182,11,0,2,9,0,0,0,0,0,0.18181818181818182,0.8181818181818182,0,0,0,0
76,mexican_supergrains,vegan,m&s,0,0,8,0,0,8,0,0,0,0,0,0,1,0,0,0,0
77,tesco_indian_onion_bhajis,vegan,tesco,1,0.16666666666666666,6,1,2,3,1,0,0,0,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0,0,0
78,sweet_potato_falafels,vegan,m&s,0,0,6,0,0,6,0,0,0,0,0,0,1,0,0,0,0
79,red_cabbage_squash_filo_tarts,vegan,m&s,0,0,8,1,0,7,1,0,0,0,0.125,0,0.875,0.125,0,0,0
80,orzo_pasta_roasted_tomato_salad,vegan,m&s,1,0.14285714285714285,7,0,1,6,0,0,0,0,0,0.14285714285714285,0.8571428571428571,0,0,0,0
81,crispy_tempura_vegetable_fritters_with_black_rice_vinegar_dip,vegetarian,m&s,1,0.125,8,1,1,6,1,0,0,0,0.125,0.125,0.75,0.125,0,0,0
82,tesco_finest_mac_cheese,vegetarian,tesco,0,0,8,0,0,8,0,0,0,0,0,0,1,0,0,0,0
83,tesco_macaroni_cheese,vegetarian,tesco,1,0.16666666666666666,6,0,1,5,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0,0,0,0
84,tesco_baked_potatoes_with_cheese,vegetarian,tesco,2,0.25,8,0,2,6,0,0,0,0,0,0.25,0.75,0,0,0,0
85,tesco_tomato_and_mozzarella_pasta_bake,vegetarian,tesco,0,0,5,0,0,5,0,0,0,0,0,0,1,0,0,0,0
